id,school,date,gamenum,location,opponent,outcome
1,Air Force,11/15/2014,10,,Nevada,W
2,Alabama,11/15/2014,10,,Mississippi State,W
3,Appalachian State,11/15/2014,10,@,Arkansas State,W
4,Arizona,11/15/2014,10,,Washington,W
5,Arizona State,11/15/2014,10,@,Oregon State,L
6,Arkansas,11/15/2014,10,,Louisiana State,W
7,Arkansas State,11/15/2014,10,,Appalachian State,L
8,Army,11/15/2014,10,@,Western Kentucky,L
9,Auburn,11/15/2014,10,@,Georgia,L
10,Boise State,11/15/2014,10,,San Diego State,W
11,Brigham Young,11/15/2014,10,,Nevada-Las Vegas,W
12,Central Michigan,11/15/2014,11,,Miami (OH),W
13,Clemson,11/15/2014,10,@,Georgia Tech,L
14,Duke,11/15/2014,10,,Virginia Tech,L
15,Eastern Michigan,11/15/2014,10,@,Western Michigan,L
16,Florida,11/15/2014,10,,South Carolina,L
17,Florida International,11/15/2014,11,,Middle Tennessee State,W
18,Florida State,11/15/2014,10,@,Miami (FL),W
19,Georgia,11/15/2014,10,,Auburn,W
20,Georgia Southern,11/15/2014,11,@,Navy,L
21,Georgia Tech,11/15/2014,11,,Clemson,W
22,Hawaii,11/15/2014,11,@,San Jose State,W
23,Idaho,11/15/2014,11,,Troy,L
24,Illinois,11/15/2014,10,,Iowa,L
25,Indiana,11/15/2014,10,@,Rutgers,L
26,Iowa,11/15/2014,10,@,Illinois,W
27,Kansas,11/15/2014,10,,Texas Christian,L
28,Kentucky,11/15/2014,11,@,Tennessee,L
29,Louisiana State,11/15/2014,11,@,Arkansas,L
30,Louisiana-Lafayette,11/15/2014,10,@,Louisiana-Monroe,W
31,Louisiana-Monroe,11/15/2014,10,,Louisiana-Lafayette,L
32,Marshall,11/15/2014,10,,Rice,W
33,Maryland,11/15/2014,10,,Michigan State,L
34,Memphis,11/15/2014,10,@,Tulane,W
35,Miami (FL),11/15/2014,10,,Florida State,L
36,Miami (OH),11/15/2014,11,@,Central Michigan,L
37,Michigan State,11/15/2014,10,@,Maryland,W
38,Middle Tennessee State,11/15/2014,10,@,Florida International,L
39,Minnesota,11/15/2014,10,,Ohio State,L
40,Mississippi State,11/15/2014,10,@,Alabama,L
41,Missouri,11/15/2014,10,@,Texas A&M,W
42,Navy,11/15/2014,10,,Georgia Southern,W
43,Nebraska,11/15/2014,10,@,Wisconsin,L
44,Nevada,11/15/2014,10,@,Air Force,L
45,Nevada-Las Vegas,11/15/2014,11,@,Brigham Young,L
46,New Mexico,11/15/2014,10,@,Utah State,L
47,North Carolina,11/15/2014,10,,Pittsburgh,W
48,North Carolina State,11/15/2014,11,,Wake Forest,W
49,North Texas,11/15/2014,10,@,Texas-El Paso,L
50,Northwestern,11/15/2014,10,@,Notre Dame,W
51,Notre Dame,11/15/2014,10,,Northwestern,L
52,Ohio State,11/15/2014,10,@,Minnesota,W
53,Oklahoma,11/15/2014,10,@,Texas Tech,W
54,Oklahoma State,11/15/2014,10,,Texas,L
55,Oregon State,11/15/2014,10,,Arizona State,W
56,Penn State,11/15/2014,10,,Temple,W
57,Pittsburgh,11/15/2014,10,@,North Carolina,L
58,Rice,11/15/2014,10,@,Marshall,L
59,Rutgers,11/15/2014,10,,Indiana,W
60,San Diego State,11/15/2014,10,@,Boise State,L
61,San Jose State,11/15/2014,10,,Hawaii,L
62,South Alabama,11/15/2014,10,,Texas State,W
63,South Carolina,11/15/2014,10,@,Florida,W
64,South Florida,11/15/2014,10,@,Southern Methodist,W
65,Southern Methodist,11/15/2014,9,,South Florida,L
66,Stanford,11/15/2014,10,,Utah,L
67,Temple,11/15/2014,10,@,Penn State,L
68,Tennessee,11/15/2014,10,,Kentucky,W
69,Texas,11/15/2014,11,@,Oklahoma State,W
70,Texas A&M,11/15/2014,11,,Missouri,L
71,Texas Christian,11/15/2014,10,@,Kansas,W
72,Texas State,11/15/2014,10,@,South Alabama,L
73,Texas Tech,11/15/2014,10,,Oklahoma,L
74,Texas-El Paso,11/15/2014,10,,North Texas,W
75,Troy,11/15/2014,11,@,Idaho,W
76,Tulane,11/15/2014,10,,Memphis,L
77,Utah,11/15/2014,10,@,Stanford,W
78,Utah State,11/15/2014,11,,New Mexico,W
79,Virginia Tech,11/15/2014,10,@,Duke,W
80,Wake Forest,11/15/2014,10,@,North Carolina State,L
81,Washington,11/15/2014,11,@,Arizona,L
82,Western Kentucky,11/15/2014,10,,Army,W
83,Western Michigan,11/15/2014,10,,Eastern Michigan,W
84,Wisconsin,11/15/2014,10,,Nebraska,W
85,Central Florida,11/14/2014,9,,Tulsa,W
86,Tulsa,11/14/2014,10,@,Central Florida,L
87,California,11/13/2014,10,@,Southern California,L
88,Cincinnati,11/13/2014,9,N,East Carolina,W
89,East Carolina,11/13/2014,9,N,Cincinnati,L
90,Southern California,11/13/2014,10,,California,W
91,Southern Mississippi,11/13/2014,11,@,Texas-San Antonio,L
92,Texas-San Antonio,11/13/2014,10,,Southern Mississippi,W
93,Ball State,11/12/2014,10,@,Massachusetts,L
94,Bowling Green State,11/12/2014,10,,Kent State,W
95,Kent State,11/12/2014,10,@,Bowling Green State,L
96,Massachusetts,11/12/2014,10,,Ball State,W
97,Akron,11/11/2014,10,@,Buffalo,L
98,Buffalo,11/11/2014,10,,Akron,W
99,Northern Illinois,11/11/2014,10,,Toledo,W
100,Toledo,11/11/2014,10,@,Northern Illinois,L
101,Air Force,11/08/2014,9,@,Nevada-Las Vegas,W
102,Alabama,11/08/2014,9,@,Louisiana State,W
103,Alabama-Birmingham,11/08/2014,10,,Louisiana Tech,L
104,Appalachian State,11/08/2014,9,,Louisiana-Monroe,W
105,Arizona,11/08/2014,9,,Colorado,W
106,Arizona State,11/08/2014,9,,Notre Dame,W
107,Arkansas State,11/08/2014,9,,South Alabama,W
108,Army,11/08/2014,9,N,Connecticut,W
109,Auburn,11/08/2014,9,,Texas A&M,L
110,Baylor,11/08/2014,9,@,Oklahoma,W
111,Boise State,11/08/2014,9,@,New Mexico,W
112,Boston College,11/08/2014,10,,Louisville,L
113,Colorado,11/08/2014,10,@,Arizona,L
114,Colorado State,11/08/2014,10,,Hawaii,W
115,Connecticut,11/08/2014,9,N,Army,L
116,Duke,11/08/2014,9,@,Syracuse,W
117,Florida,11/08/2014,9,@,Vanderbilt,W
118,Florida Atlantic,11/08/2014,10,@,North Texas,L
119,Florida International,11/08/2014,10,@,Old Dominion,L
120,Florida State,11/08/2014,9,,Virginia,W
121,Fresno State,11/08/2014,10,,San Jose State,W
122,Georgia,11/08/2014,9,@,Kentucky,W
123,Georgia Southern,11/08/2014,10,@,Texas State,W
124,Georgia State,11/08/2014,10,@,Troy,L
125,Georgia Tech,11/08/2014,10,@,North Carolina State,W
126,Hawaii,11/08/2014,10,@,Colorado State,L
127,Houston,11/08/2014,9,,Tulane,L
128,Idaho,11/08/2014,10,@,San Diego State,L
129,Indiana,11/08/2014,9,,Penn State,L
130,Iowa,11/08/2014,9,@,Minnesota,L
131,Iowa State,11/08/2014,9,@,Kansas,L
132,Kansas,11/08/2014,9,,Iowa State,W
133,Kansas State,11/08/2014,9,@,Texas Christian,L
134,Kentucky,11/08/2014,10,,Georgia,L
135,Louisiana State,11/08/2014,10,,Alabama,L
136,Louisiana Tech,11/08/2014,10,@,Alabama-Birmingham,W
137,Louisiana-Lafayette,11/08/2014,9,@,New Mexico State,W
138,Louisiana-Monroe,11/08/2014,9,@,Appalachian State,L
139,Louisville,11/08/2014,10,@,Boston College,W
140,Marshall,11/08/2014,9,@,Southern Mississippi,W
141,Michigan,11/08/2014,10,@,Northwestern,W
142,Michigan State,11/08/2014,9,,Ohio State,L
143,Minnesota,11/08/2014,9,,Iowa,W
144,Mississippi,11/08/2014,10,,Presbyterian,W
145,Mississippi State,11/08/2014,9,,Tennessee-Martin,W
146,Nevada-Las Vegas,11/08/2014,10,,Air Force,L
147,New Mexico,11/08/2014,9,,Boise State,L
148,New Mexico State,11/08/2014,10,,Louisiana-Lafayette,L
149,North Carolina State,11/08/2014,10,,Georgia Tech,L
150,North Texas,11/08/2014,9,,Florida Atlantic,W
151,Northwestern,11/08/2014,9,,Michigan,L
152,Notre Dame,11/08/2014,9,@,Arizona State,L
153,Ohio State,11/08/2014,9,@,Michigan State,W
154,Oklahoma,11/08/2014,9,,Baylor,L
155,Old Dominion,11/08/2014,10,,Florida International,W
156,Oregon,11/08/2014,10,@,Utah,W
157,Oregon State,11/08/2014,9,,Washington State,L
158,Penn State,11/08/2014,9,@,Indiana,W
159,Purdue,11/08/2014,10,,Wisconsin,L
160,Rice,11/08/2014,9,,Texas-San Antonio,W
161,San Diego State,11/08/2014,9,,Idaho,W
162,San Jose State,11/08/2014,9,@,Fresno State,L
163,South Alabama,11/08/2014,9,@,Arkansas State,L
164,Southern Methodist,11/08/2014,8,@,Tulsa,L
165,Southern Mississippi,11/08/2014,10,,Marshall,L
166,Syracuse,11/08/2014,10,,Duke,L
167,Texas,11/08/2014,10,,West Virginia,W
168,Texas A&M,11/08/2014,10,@,Auburn,W
169,Texas Christian,11/08/2014,9,,Kansas State,W
170,Texas State,11/08/2014,9,,Georgia Southern,L
171,Texas-El Paso,11/08/2014,9,@,Western Kentucky,L
172,Texas-San Antonio,11/08/2014,9,@,Rice,L
173,Troy,11/08/2014,10,,Georgia State,W
174,Tulane,11/08/2014,9,@,Houston,W
175,Tulsa,11/08/2014,9,,Southern Methodist,W
176,UCLA,11/08/2014,10,@,Washington,W
177,Utah,11/08/2014,9,,Oregon,L
178,Vanderbilt,11/08/2014,10,,Florida,L
179,Virginia,11/08/2014,10,@,Florida State,L
180,Washington,11/08/2014,10,,UCLA,L
181,Washington State,11/08/2014,10,@,Oregon State,W
182,West Virginia,11/08/2014,10,@,Texas,L
183,Western Kentucky,11/08/2014,9,,Texas-El Paso,W
184,Wisconsin,11/08/2014,9,@,Purdue,W
185,Memphis,11/07/2014,9,@,Temple,W
186,Temple,11/07/2014,9,,Memphis,L
187,Utah State,11/07/2014,10,@,Wyoming,W
188,Wyoming,11/07/2014,10,,Utah State,L
189,Clemson,11/06/2014,9,@,Wake Forest,W
190,Wake Forest,11/06/2014,9,,Clemson,L
191,Ball State,11/05/2014,9,,Northern Illinois,L
192,Buffalo,11/05/2014,9,@,Ohio,L
193,Northern Illinois,11/05/2014,9,@,Ball State,W
194,Ohio,11/05/2014,10,,Buffalo,W
195,Akron,11/04/2014,9,,Bowling Green State,L
196,Bowling Green State,11/04/2014,9,@,Akron,W
197,Kent State,11/04/2014,9,,Toledo,L
198,Toledo,11/04/2014,9,@,Kent State,W
199,Air Force,11/01/2014,8,@,Army,W
200,Alabama-Birmingham,11/01/2014,9,@,Florida Atlantic,W
201,Appalachian State,11/01/2014,8,,Georgia State,W
202,Arizona,11/01/2014,8,@,UCLA,L
203,Arizona State,11/01/2014,8,,Utah,W
204,Arkansas,11/01/2014,9,@,Mississippi State,L
205,Arkansas State,11/01/2014,8,@,Idaho,W
206,Army,11/01/2014,8,,Air Force,L
207,Auburn,11/01/2014,8,@,Mississippi,W
208,Baylor,11/01/2014,8,,Kansas,W
209,Boston College,11/01/2014,9,@,Virginia Tech,W
210,Brigham Young,11/01/2014,9,@,Middle Tennessee State,W
211,California,11/01/2014,9,@,Oregon State,W
212,Central Florida,11/01/2014,8,@,Connecticut,L
213,Central Michigan,11/01/2014,10,@,Eastern Michigan,W
214,Colorado,11/01/2014,9,,Washington,L
215,Colorado State,11/01/2014,9,@,San Jose State,W
216,Connecticut,11/01/2014,8,,Central Florida,W
217,Duke,11/01/2014,8,@,Pittsburgh,W
218,East Carolina,11/01/2014,8,@,Temple,L
219,Eastern Michigan,11/01/2014,9,,Central Michigan,L
220,Florida,11/01/2014,8,N,Georgia,W
221,Florida Atlantic,11/01/2014,9,,Alabama-Birmingham,L
222,Florida International,11/01/2014,9,,Rice,L
223,Fresno State,11/01/2014,9,,Wyoming,L
224,Georgia,11/01/2014,8,N,Florida,L
225,Georgia State,11/01/2014,9,@,Appalachian State,L
226,Georgia Tech,11/01/2014,9,,Virginia,W
227,Hawaii,11/01/2014,9,,Utah State,L
228,Houston,11/01/2014,8,@,South Florida,W
229,Idaho,11/01/2014,9,,Arkansas State,L
230,Illinois,11/01/2014,9,@,Ohio State,L
231,Indiana,11/01/2014,8,@,Michigan,L
232,Iowa,11/01/2014,8,,Northwestern,W
233,Iowa State,11/01/2014,8,,Oklahoma,L
234,Kansas,11/01/2014,8,@,Baylor,L
235,Kansas State,11/01/2014,8,,Oklahoma State,W
236,Kentucky,11/01/2014,9,@,Missouri,L
237,Louisiana Tech,11/01/2014,9,,Western Kentucky,W
238,Louisiana-Lafayette,11/01/2014,8,,South Alabama,W
239,Louisiana-Monroe,11/01/2014,8,@,Texas A&M,L
240,Maryland,11/01/2014,9,@,Penn State,W
241,Miami (FL),11/01/2014,9,,North Carolina,W
242,Miami (OH),11/01/2014,10,,Western Michigan,L
243,Michigan,11/01/2014,9,,Indiana,W
244,Middle Tennessee State,11/01/2014,9,,Brigham Young,L
245,Mississippi,11/01/2014,9,,Auburn,L
246,Mississippi State,11/01/2014,8,,Arkansas,W
247,Missouri,11/01/2014,9,,Kentucky,W
248,Navy,11/01/2014,9,N,Notre Dame,L
249,Nebraska,11/01/2014,9,,Purdue,W
250,Nevada,11/01/2014,9,,San Diego State,W
251,Nevada-Las Vegas,11/01/2014,9,,New Mexico,L
252,New Mexico,11/01/2014,8,@,Nevada-Las Vegas,W
253,New Mexico State,11/01/2014,9,,Texas State,L
254,North Carolina,11/01/2014,9,@,Miami (FL),L
255,North Carolina State,11/01/2014,9,@,Syracuse,W
256,Northwestern,11/01/2014,8,@,Iowa,L
257,Notre Dame,11/01/2014,8,N,Navy,W
258,Ohio State,11/01/2014,8,,Illinois,W
259,Oklahoma,11/01/2014,8,@,Iowa State,W
260,Oklahoma State,11/01/2014,9,@,Kansas State,L
261,Old Dominion,11/01/2014,9,@,Vanderbilt,L
262,Oregon,11/01/2014,9,,Stanford,W
263,Oregon State,11/01/2014,8,,California,L
264,Penn State,11/01/2014,8,,Maryland,L
265,Pittsburgh,11/01/2014,9,,Duke,L
266,Purdue,11/01/2014,9,@,Nebraska,L
267,Rice,11/01/2014,8,@,Florida International,W
268,Rutgers,11/01/2014,9,,Wisconsin,L
269,San Diego State,11/01/2014,8,@,Nevada,L
270,San Jose State,11/01/2014,8,,Colorado State,L
271,South Alabama,11/01/2014,8,@,Louisiana-Lafayette,L
272,South Carolina,11/01/2014,9,,Tennessee,L
273,South Florida,11/01/2014,9,,Houston,L
274,Southern California,11/01/2014,9,@,Washington State,W
275,Southern Mississippi,11/01/2014,9,@,Texas-El Paso,L
276,Stanford,11/01/2014,9,@,Oregon,L
277,Syracuse,11/01/2014,9,,North Carolina State,L
278,Temple,11/01/2014,8,,East Carolina,W
279,Tennessee,11/01/2014,9,@,South Carolina,W
280,Texas,11/01/2014,9,@,Texas Tech,W
281,Texas A&M,11/01/2014,9,,Louisiana-Monroe,W
282,Texas Christian,11/01/2014,8,@,West Virginia,W
283,Texas State,11/01/2014,8,@,New Mexico State,W
284,Texas Tech,11/01/2014,9,,Texas,L
285,Texas-El Paso,11/01/2014,8,,Southern Mississippi,W
286,UCLA,11/01/2014,9,,Arizona,W
287,Utah,11/01/2014,8,@,Arizona State,L
288,Utah State,11/01/2014,9,@,Hawaii,W
289,Vanderbilt,11/01/2014,9,,Old Dominion,W
290,Virginia,11/01/2014,9,@,Georgia Tech,L
291,Virginia Tech,11/01/2014,9,,Boston College,L
292,Washington,11/01/2014,9,@,Colorado,W
293,Washington State,11/01/2014,9,,Southern California,L
294,West Virginia,11/01/2014,9,,Texas Christian,L
295,Western Kentucky,11/01/2014,8,@,Louisiana Tech,L
296,Western Michigan,11/01/2014,9,@,Miami (OH),W
297,Wisconsin,11/01/2014,8,@,Rutgers,W
298,Wyoming,11/01/2014,9,@,Fresno State,W
299,Cincinnati,10/31/2014,8,@,Tulane,W
300,Memphis,10/31/2014,8,,Tulsa,W
301,Tulane,10/31/2014,8,,Cincinnati,L
302,Tulsa,10/31/2014,8,@,Memphis,L
303,Florida State,10/30/2014,8,@,Louisville,W
304,Georgia Southern,10/30/2014,9,,Troy,W
305,Louisville,10/30/2014,9,,Florida State,L
306,Troy,10/30/2014,9,@,Georgia Southern,L
307,Akron,10/25/2014,8,@,Ball State,L
308,Alabama,10/25/2014,8,@,Tennessee,W
309,Alabama-Birmingham,10/25/2014,8,@,Arkansas,L
310,Arizona,10/25/2014,7,@,Washington State,W
311,Arizona State,10/25/2014,7,@,Washington,W
312,Arkansas,10/25/2014,8,,Alabama-Birmingham,W
313,Auburn,10/25/2014,7,,South Carolina,W
314,Ball State,10/25/2014,8,,Akron,W
315,Boston College,10/25/2014,8,@,Wake Forest,W
316,Buffalo,10/25/2014,8,,Central Michigan,L
317,Central Florida,10/25/2014,7,,Temple,W
318,Central Michigan,10/25/2014,9,@,Buffalo,W
319,Clemson,10/25/2014,8,,Syracuse,W
320,Colorado,10/25/2014,8,,UCLA,L
321,Colorado State,10/25/2014,8,,Wyoming,W
322,Eastern Michigan,10/25/2014,8,,Northern Illinois,L
323,Florida Atlantic,10/25/2014,8,@,Marshall,L
324,Georgia Southern,10/25/2014,8,@,Georgia State,W
325,Georgia State,10/25/2014,8,,Georgia Southern,L
326,Georgia Tech,10/25/2014,8,@,Pittsburgh,W
327,Hawaii,10/25/2014,8,,Nevada,L
328,Illinois,10/25/2014,8,,Minnesota,W
329,Kansas State,10/25/2014,7,,Texas,W
330,Kent State,10/25/2014,8,@,Miami (OH),L
331,Kentucky,10/25/2014,8,,Mississippi State,L
332,Louisiana State,10/25/2014,9,,Mississippi,W
333,Louisiana Tech,10/25/2014,8,@,Southern Mississippi,W
334,Louisiana-Monroe,10/25/2014,7,,Texas State,L
335,Marshall,10/25/2014,8,,Florida Atlantic,W
336,Maryland,10/25/2014,8,@,Wisconsin,L
337,Massachusetts,10/25/2014,9,@,Toledo,L
338,Memphis,10/25/2014,7,@,Southern Methodist,W
339,Miami (OH),10/25/2014,9,,Kent State,W
340,Michigan,10/25/2014,8,@,Michigan State,L
341,Michigan State,10/25/2014,8,,Michigan,W
342,Minnesota,10/25/2014,8,@,Illinois,L
343,Mississippi,10/25/2014,8,@,Louisiana State,L
344,Mississippi State,10/25/2014,7,@,Kentucky,W
345,Missouri,10/25/2014,8,,Vanderbilt,W
346,Navy,10/25/2014,8,,San Jose State,W
347,Nebraska,10/25/2014,8,,Rutgers,W
348,Nevada,10/25/2014,8,@,Hawaii,W
349,Nevada-Las Vegas,10/25/2014,8,@,Utah State,L
350,North Carolina,10/25/2014,8,@,Virginia,W
351,North Texas,10/25/2014,8,@,Rice,L
352,Northern Illinois,10/25/2014,8,@,Eastern Michigan,W
353,Ohio,10/25/2014,9,@,Western Michigan,L
354,Ohio State,10/25/2014,7,@,Penn State,W
355,Oklahoma State,10/25/2014,8,,West Virginia,L
356,Old Dominion,10/25/2014,8,@,Western Kentucky,L
357,Oregon State,10/25/2014,7,@,Stanford,L
358,Penn State,10/25/2014,7,,Ohio State,L
359,Pittsburgh,10/25/2014,8,,Georgia Tech,L
360,Rice,10/25/2014,7,,North Texas,W
361,Rutgers,10/25/2014,8,@,Nebraska,L
362,San Jose State,10/25/2014,7,@,Navy,L
363,South Carolina,10/25/2014,8,@,Auburn,L
364,Southern California,10/25/2014,8,@,Utah,L
365,Southern Methodist,10/25/2014,7,,Memphis,L
366,Southern Mississippi,10/25/2014,8,,Louisiana Tech,L
367,Stanford,10/25/2014,8,,Oregon State,W
368,Syracuse,10/25/2014,8,@,Clemson,L
369,Temple,10/25/2014,7,@,Central Florida,L
370,Tennessee,10/25/2014,8,,Alabama,L
371,Texas,10/25/2014,8,@,Kansas State,L
372,Texas Christian,10/25/2014,7,,Texas Tech,W
373,Texas State,10/25/2014,7,@,Louisiana-Monroe,W
374,Texas Tech,10/25/2014,8,@,Texas Christian,L
375,Texas-El Paso,10/25/2014,7,@,Texas-San Antonio,W
376,Texas-San Antonio,10/25/2014,8,,Texas-El Paso,L
377,Toledo,10/25/2014,8,,Massachusetts,W
378,UCLA,10/25/2014,8,@,Colorado,W
379,Utah,10/25/2014,7,,Southern California,W
380,Utah State,10/25/2014,8,,Nevada-Las Vegas,W
381,Vanderbilt,10/25/2014,8,@,Missouri,L
382,Virginia,10/25/2014,8,,North Carolina,L
383,Wake Forest,10/25/2014,8,,Boston College,L
384,Washington,10/25/2014,8,,Arizona State,L
385,Washington State,10/25/2014,8,,Arizona,L
386,West Virginia,10/25/2014,8,@,Oklahoma State,W
387,Western Kentucky,10/25/2014,7,,Old Dominion,W
388,Western Michigan,10/25/2014,8,,Ohio,W
389,Wisconsin,10/25/2014,7,,Maryland,W
390,Wyoming,10/25/2014,8,@,Colorado State,L
391,Boise State,10/24/2014,8,,Brigham Young,W
392,Brigham Young,10/24/2014,8,@,Boise State,L
393,California,10/24/2014,8,N,Oregon,L
394,Cincinnati,10/24/2014,7,N,South Florida,W
